Table 1: Approved Canada Emergency Rent Subsidy (CERS) and Lockdown Support Claims by Period and Province or Territory of Business Address,,,,
,,,,
Claim Period,Province or Territory,Count of approved applications,Total Canada Emergency Rent Subsidy and Lockdown Support (Line 320),Count of properties
"P1: September 27, 2020 to October 24, 2020",Newfoundland and Labrador,890,2224000,1310
"P1: September 27, 2020 to October 24, 2020",Prince Edward Island,330,644000,440
"P1: September 27, 2020 to October 24, 2020",Nova Scotia,1910,5274000,3130
"P1: September 27, 2020 to October 24, 2020",New Brunswick,1700,3880000,2650
"P1: September 27, 2020 to October 24, 2020",Quebec,32060,110898000,46020
"P1: September 27, 2020 to October 24, 2020",Ontario,71730,247409000,94980
"P1: September 27, 2020 to October 24, 2020",Manitoba,3760,11545000,7380
"P1: September 27, 2020 to October 24, 2020",Saskatchewan,3740,11226000,12780
"P1: September 27, 2020 to October 24, 2020",Alberta,21340,80871000,41360
"P1: September 27, 2020 to October 24, 2020",British Columbia,20280,65589000,27790
"P1: September 27, 2020 to October 24, 2020",Yukon,40,82000,60
"P1: September 27, 2020 to October 24, 2020",Northwest Territories,60,147000,80
"P1: September 27, 2020 to October 24, 2020",Nunavut,10,25000,20
"P1: September 27, 2020 to October 24, 2020",Missing,120,2769000,910
"P1: September 27, 2020 to October 24, 2020",Total - Period 1,157980,542583000,238910
"P2: October 25, 2020 to November 21, 2020",Newfoundland and Labrador,910,2208000,1330
"P2: October 25, 2020 to November 21, 2020",Prince Edward Island,310,588000,430
"P2: October 25, 2020 to November 21, 2020",Nova Scotia,2040,5822000,3230
"P2: October 25, 2020 to November 21, 2020",New Brunswick,1780,4284000,2860
"P2: October 25, 2020 to November 21, 2020",Quebec,33580,121086000,48310
"P2: October 25, 2020 to November 21, 2020",Ontario,74700,269857000,98630
"P2: October 25, 2020 to November 21, 2020",Manitoba,4290,16999000,8920
"P2: October 25, 2020 to November 21, 2020",Saskatchewan,4000,12851000,15310
"P2: October 25, 2020 to November 21, 2020",Alberta,22100,86124000,42300
"P2: October 25, 2020 to November 21, 2020",British Columbia,20890,70828000,28310
"P2: October 25, 2020 to November 21, 2020",Yukon,50,88000,50
"P2: October 25, 2020 to November 21, 2020",Northwest Territories,60,165000,80
"P2: October 25, 2020 to November 21, 2020",Nunavut,10,37000,20
"P2: October 25, 2020 to November 21, 2020",Missing,130,3126000,930
"P2: October 25, 2020 to November 21, 2020",Total - Period 2,164840,594063000,250690
"P3: November 22, 2020 to December 19, 2020",Newfoundland and Labrador,900,2206000,1330
"P3: November 22, 2020 to December 19, 2020",Prince Edward Island,300,672000,400
"P3: November 22, 2020 to December 19, 2020",Nova Scotia,2110,8089000,3320
"P3: November 22, 2020 to December 19, 2020",New Brunswick,1700,4139000,2740
"P3: November 22, 2020 to December 19, 2020",Quebec,33880,125606000,48620
"P3: November 22, 2020 to December 19, 2020",Ontario,77000,304901000,101580
"P3: November 22, 2020 to December 19, 2020",Manitoba,4360,19045000,9210
"P3: November 22, 2020 to December 19, 2020",Saskatchewan,3950,13707000,15460
"P3: November 22, 2020 to December 19, 2020",Alberta,22820,101368000,42880
"P3: November 22, 2020 to December 19, 2020",British Columbia,20710,74976000,28290
"P3: November 22, 2020 to December 19, 2020",Yukon,50,112000,70
"P3: November 22, 2020 to December 19, 2020",Northwest Territories,60,151000,70
"P3: November 22, 2020 to December 19, 2020",Nunavut,10,46000,20
"P3: November 22, 2020 to December 19, 2020",Missing,140,5362000,1250
"P3: November 22, 2020 to December 19, 2020",Total - Period 3,167960,660381000,255230
"P4: December 20, 2020 to January 16, 2021",Newfoundland and Labrador,880,2197000,1280
"P4: December 20, 2020 to January 16, 2021",Prince Edward Island,280,663000,370
"P4: December 20, 2020 to January 16, 2021",Nova Scotia,2020,8021000,3250
"P4: December 20, 2020 to January 16, 2021",New Brunswick,1680,4416000,2660
"P4: December 20, 2020 to January 16, 2021",Quebec,34450,136049000,49260
"P4: December 20, 2020 to January 16, 2021",Ontario,78340,336176000,102940
"P4: December 20, 2020 to January 16, 2021",Manitoba,4230,18886000,9400
