Table 1: Approved Canada Emergency Wage Subsidy (CEWS) Claims by Period and Province/Territory of Business Address,,,,,,,,
Claim Period,Province or Territory,Applications Approved Since Launch,Number of Eligible Employees (Line A),Number of Eligible Employees on Leave with Pay (Line AA),Number of Employees Supported by the Program (Line A + Line AA),CEWS Amount Approved Since Launch,Average CEWS Amount per Employee,Percent Distribution of Approved Applications for Each Claim Period
P1: March 15 to April 11,Newfoundland and Labrador,2860,31470,         -,31470,58270000,1852,0.0116
P1: March 15 to April 11,Prince Edward Island,1130,12490,         -,12490,19975000,1599,0.0046
P1: March 15 to April 11,Nova Scotia,5220,67280,         -,67280,124358000,1848,0.0212
P1: March 15 to April 11,New Brunswick,4510,54380,         -,54380,101891000,1874,0.0183
P1: March 15 to April 11,Quebec,49830,655410,         -,655410,1323320000,2019,0.202
P1: March 15 to April 11,Ontario,94800,1490190,         -,1490190,3089189000,2073,0.3842
P1: March 15 to April 11,Manitoba,6920,120760,         -,120760,256308000,2122,0.0281
P1: March 15 to April 11,Saskatchewan,6610,66620,         -,66620,133794000,2008,0.0268
P1: March 15 to April 11,Alberta,35130,485710,         -,485710,1130324000,2327,0.1424
P1: March 15 to April 11,British Columbia,38770,451880,         -,451880,920592000,2037,0.1571
P1: March 15 to April 11,Yukon,280,4320,         -,4320,10016000,2319,0.0011
P1: March 15 to April 11,Northwest Territories,230,2960,         -,2960,6634000,2241,0.0009
P1: March 15 to April 11,Nunavut,60,740,         -,740,1590000,2149,0.0003
P1: March 15 to April 11,Missing,370,45440,         -,45440,69359000,1526,0.0015
P1: March 15 to April 11,Total - Period 1,246710,3489650,         -,3489650,7245621000,2076,1
P2: April 12 to May 9,Newfoundland and Labrador,3120,29850,         -,29850,64883000,2174,0.0111
P2: April 12 to May 9,Prince Edward Island,1250,11640,         -,11640,23071000,1982,0.0044
P2: April 12 to May 9,Nova Scotia,5990,66580,         -,66580,146436000,2199,0.0213
P2: April 12 to May 9,New Brunswick,5070,64670,         -,64670,136587000,2112,0.018
P2: April 12 to May 9,Quebec,63160,820090,         -,820090,1902476000,2320,0.2243
P2: April 12 to May 9,Ontario,105180,1543270,         -,1543270,3714329000,2407,0.3735
P2: April 12 to May 9,Manitoba,7700,125100,         -,125100,295266000,2360,0.0274
P2: April 12 to May 9,Saskatchewan,7230,68470,         -,68470,156854000,2291,0.0257
P2: April 12 to May 9,Alberta,38760,508060,         -,508060,1302011000,2563,0.1376
P2: April 12 to May 9,British Columbia,43130,465110,         -,465110,1065647000,2291,0.1531
P2: April 12 to May 9,Yukon,320,4360,         -,4360,10736000,2462,0.0011
P2: April 12 to May 9,Northwest Territories,240,2580,         -,2580,6412000,2485,0.0008
P2: April 12 to May 9,Nunavut,60,790,         -,790,1862000,2357,0.0002
P2: April 12 to May 9,Missing,420,29510,         -,29510,68015000,2305,0.0015
P2: April 12 to May 9,Total - Period 2,281630,3740100,         -,3740100,8894584000,2378,1
P3: May 10 to June 6,Newfoundland and Labrador,3060,34550,         -,34550,79177000,2292,0.0109
P3: May 10 to June 6,Prince Edward Island,1390,15940,         -,15940,31835000,1997,0.005
P3: May 10 to June 6,Nova Scotia,6200,73330,         -,73330,159367000,2173,0.0221
P3: May 10 to June 6,New Brunswick,5470,69530,         -,69530,152565000,2194,0.0195
P3: May 10 to June 6,Quebec,66290,980820,         -,980820,2323550000,2369,0.2368
P3: May 10 to June 6,Ontario,102110,1594020,         -,1594020,3815021000,2393,0.3647
P3: May 10 to June 6,Manitoba,7220,165230,         -,165230,295280000,1787,0.0258
P3: May 10 to June 6,Saskatchewan,6860,64770,         -,64770,145174000,2241,0.0245
P3: May 10 to June 6,Alberta,38020,522760,         -,522760,1331894000,2548,0.1358
P3: May 10 to June 6,British Columbia,42330,490190,         -,490190,1066152000,2175,0.1512
P3: May 10 to June 6,Yukon,310,4090,         -,4090,10142000,2480,0.0011
P3: May 10 to June 6,Northwest Territories,220,2350,         -,2350,5996000,2551,0.0008
P3: May 10 to June 6,Nunavut,50,690,         -,690,1688000,2446,0.0002
P3: May 10 to June 6,Missing,410,36650,         -,36650,77742000,2121,0.0015
P3: May 10 to June 6,Total - Period 3,279940,4054900,         -,4054900,9495584000,2342,1
P4: June 7 to July 4,Newfoundland and Labrador,2880,35510,         -,35510,83035000,2338,0.0115
P4: June 7 to July 4,Prince Edward Island,1350,16760,         -,16760,32815000,1958,0.0054
P4: June 7 to July 4,Nova Scotia,5620,74060,         -,74060,154250000,2083,0.0225
P4: June 7 to July 4,New Brunswick,4790,60280,         -,60280,135019000,2240,0.0191
P4: June 7 to July 4,Quebec,58020,895820,         -,895820,2014752000,2249,0.2318
P4: June 7 to July 4,Ontario,92980,1531800,         -,1531800,3499939000,2285,0.3715
P4: June 7 to July 4,Manitoba,5930,106740,         -,106740,244970000,2295,0.0237
P4: June 7 to July 4,Saskatchewan,6020,63330,         -,63330,138031000,2180,0.0241
P4: June 7 to July 4,Alberta,34360,573550,         -,573550,1274107000,2221,0.1373
P4: June 7 to July 4,British Columbia,37470,446200,         -,446200,984297000,2206,0.1497
P4: June 7 to July 4,Yukon,260,4140,         -,4140,9972000,2409,0.0011
P4: June 7 to July 4,Northwest Territories,200,2420,         -,2420,6143000,2538,0.0008
P4: June 7 to July 4,Nunavut,50,820,         -,820,2134000,2602,0.0002
P4: June 7 to July 4,Missing,340,29620,         -,29620,63915000,2158,0.0014
P4: June 7 to July 4,Total - Period 4,250270,3841050,         -,3841050,8643379000,2250,1
P5: July 5 to August 1,Newfoundland and Labrador,2920,41230,220,41450,73151000,1765,0.0119
P5: July 5 to August 1,Prince Edward Island,1230,18470,50,18520,28112000,1518,0.005
P5: July 5 to August 1,Nova Scotia,5330,84230,3140,87370,141581000,1620,0.0216
P5: July 5 to August 1,New Brunswick,4580,68380,200,68580,112938000,1647,0.0186
P5: July 5 to August 1,Quebec,57870,1068520,13330,1081850,1664729000,1539,0.2349
P5: July 5 to August 1,Ontario,91950,1699590,25540,1725130,3012324000,1746,0.3732
P5: July 5 to August 1,Manitoba,5890,127100,1300,128400,229647000,1789,0.0239
P5: July 5 to August 1,Saskatchewan,5880,75720,950,76670,133190000,1737,0.0238
P5: July 5 to August 1,Alberta,33540,554030,5290,559320,1171691000,2095,0.1361
P5: July 5 to August 1,British Columbia,36390,517340,5980,523330,916422000,1751,0.1477
P5: July 5 to August 1,Yukon,270,4500,110,4600,7334000,1594,0.0011
P5: July 5 to August 1,Northwest Territories,170,2590,40,2630,5907000,2246,0.0007
P5: July 5 to August 1,Nunavut,50,1110,20,1130,1806000,1598,0.0002
P5: July 5 to August 1,Missing,320,38280,70,38350,45371000,1183,0.0013
