pcu_date_des_donnees_inclus-cerb_week_ending_date,code_de_la_subdivision_canadienne-canadian_subdivision_code,code_de_genre-gender_group_code,compte_unique_du_demandeur-unique_applicant_count 
2020-06-28,NL,101,47820
2020-06-28,NL,102,52620
2020-06-28,NL,103,30
2020-06-28,PE,101,14590
2020-06-28,PE,102,14610
2020-06-28,PE,103,30
2020-06-28,NS,101,92920
2020-06-28,NS,102,96370
2020-06-28,NS,103,120
2020-06-28,NB,101,71240
2020-06-28,NB,102,71140
2020-06-28,NB,103,70
2020-06-28,QC,101,828240
2020-06-28,QC,102,1026980
2020-06-28,QC,103,440
2020-06-28,ON,101,1599940
2020-06-28,ON,102,1668630
2020-06-28,ON,103,2240
2020-06-28,MB,101,123530
2020-06-28,MB,102,122780
2020-06-28,MB,103,130
2020-06-28,SK,101,104720
2020-06-28,SK,102,109710
2020-06-28,SK,103,90
2020-06-28,AB,101,484770
2020-06-28,AB,102,496880
2020-06-28,AB,103,380
2020-06-28,BC,101,553850
2020-06-28,BC,102,538500
2020-06-28,BC,103,600
2020-06-28,YT,101,3980
2020-06-28,YT,102,4360
2020-06-28,YT,103,10
2020-06-28,NT,101,4790
2020-06-28,NT,102,5840
2020-06-28,NT,103,10
2020-06-28,NU,101,4210
2020-06-28,NU,102,4590
2020-06-28,NU,103,0
2020-06-28,**,101,1300
2020-06-28,**,102,1980
2020-06-28,**,103,1170
2020-06-28,??,101,40
2020-06-28,??,102,60
2020-06-28,??,103,0
2020-07-05,NL,101,48900
2020-07-05,NL,102,53710
2020-07-05,NL,103,40
2020-07-05,PE,101,14980
2020-07-05,PE,102,14860
2020-07-05,PE,103,40
2020-07-05,NS,101,94950
2020-07-05,NS,102,97510
2020-07-05,NS,103,140
2020-07-05,NB,101,72280
2020-07-05,NB,102,71940
2020-07-05,NB,103,80
2020-07-05,QC,101,840700
2020-07-05,QC,102,1033870
2020-07-05,QC,103,460
2020-07-05,ON,101,1621700
2020-07-05,ON,102,1679170
2020-07-05,ON,103,2360
2020-07-05,MB,101,125670
2020-07-05,MB,102,124210
2020-07-05,MB,103,140
2020-07-05,SK,101,107340
2020-07-05,SK,102,110930
2020-07-05,SK,103,100
2020-07-05,AB,101,491090
2020-07-05,AB,102,500660
2020-07-05,AB,103,420
2020-07-05,BC,101,561760
2020-07-05,BC,102,542620
2020-07-05,BC,103,650
2020-07-05,YT,101,4020
2020-07-05,YT,102,4400
2020-07-05,YT,103,10
2020-07-05,NT,101,4860
2020-07-05,NT,102,5890
2020-07-05,NT,103,10
2020-07-05,NU,101,4260
2020-07-05,NU,102,4640
2020-07-05,NU,103,0
