pcu_date_des_donnees_inclus-cerb_week_ending_date ,code_de_la_subdivision_canadienne-canadian_subdivision_code ,code_de_groupe_dage-age_group_code ,compte_unique_du_demandeur-unique_applicant_count 
2020-06-28,NL,24,17270
2020-06-28,NL,25,20890
2020-06-28,NL,35,18820
2020-06-28,NL,45,19070
2020-06-28,NL,55,18330
2020-06-28,NL,65,6080
2020-06-28,NL,-1,10
2020-06-28,PE,24,6470
2020-06-28,PE,25,6280
2020-06-28,PE,35,4970
2020-06-28,PE,45,4740
2020-06-28,PE,55,4740
2020-06-28,PE,65,2020
2020-06-28,PE,-1,10
2020-06-28,NS,24,35760
2020-06-28,NS,25,44320
2020-06-28,NS,35,34390
2020-06-28,NS,45,31910
2020-06-28,NS,55,31840
2020-06-28,NS,65,11160
2020-06-28,NS,-1,30
2020-06-28,NB,24,25950
2020-06-28,NB,25,30790
2020-06-28,NB,35,27020
2020-06-28,NB,45,26110
2020-06-28,NB,55,25000
2020-06-28,NB,65,7560
2020-06-28,NB,-1,10
2020-06-28,QC,24,341840
2020-06-28,QC,25,404580
2020-06-28,QC,35,359970
2020-06-28,QC,45,318710
2020-06-28,QC,55,319970
2020-06-28,QC,65,110520
2020-06-28,QC,-1,70
2020-06-28,ON,24,620810
2020-06-28,ON,25,772750
2020-06-28,ON,35,617140
2020-06-28,ON,45,570710
2020-06-28,ON,55,514730
2020-06-28,ON,65,174150
2020-06-28,ON,-1,510
2020-06-28,MB,24,50940
2020-06-28,MB,25,61310
2020-06-28,MB,35,49020
2020-06-28,MB,45,39780
2020-06-28,MB,55,33340
2020-06-28,MB,65,12010
2020-06-28,MB,-1,50
2020-06-28,SK,24,42250
2020-06-28,SK,25,55620
2020-06-28,SK,35,44740
2020-06-28,SK,45,32720
2020-06-28,SK,55,28400
2020-06-28,SK,65,10770
2020-06-28,SK,-1,30
2020-06-28,AB,24,175100
2020-06-28,AB,25,243680
2020-06-28,AB,35,218570
2020-06-28,AB,45,164550
2020-06-28,AB,55,134710
2020-06-28,AB,65,45290
2020-06-28,AB,-1,130
2020-06-28,BC,24,199310
2020-06-28,BC,25,265130
2020-06-28,BC,35,213020
2020-06-28,BC,45,183780
2020-06-28,BC,55,169160
2020-06-28,BC,65,62340
2020-06-28,BC,-1,200
2020-06-28,YT,24,1300
2020-06-28,YT,25,2210
2020-06-28,YT,35,1680
2020-06-28,YT,45,1260
2020-06-28,YT,55,1310
2020-06-28,YT,65,580
2020-06-28,YT,-1,0
2020-06-28,NT,24,1820
2020-06-28,NT,25,2760
2020-06-28,NT,35,1990
2020-06-28,NT,45,1780
2020-06-28,NT,55,1560
2020-06-28,NT,65,740
2020-06-28,NT,-1,0
2020-06-28,NU,24,1660
2020-06-28,NU,25,2630
2020-06-28,NU,35,1800
2020-06-28,NU,45,1480
2020-06-28,NU,55,890
2020-06-28,NU,65,330
2020-06-28,NU,-1,0
2020-06-28,**,24,1600
2020-06-28,**,25,1110
2020-06-28,**,35,760
2020-06-28,**,45,520
2020-06-28,**,55,340
2020-06-28,**,65,110
2020-06-28,**,-1,10
2020-06-28,??,24,60
2020-06-28,??,25,30
2020-06-28,??,35,10
2020-06-28,??,45,0
2020-06-28,??,55,0
2020-06-28,??,65,0
2020-06-28,??,-1,0
2020-07-05,NL,24,17410
2020-07-05,NL,25,21300
2020-07-05,NL,35,19230
2020-07-05,NL,45,19560
2020-07-05,NL,55,18840
2020-07-05,NL,65,6290
2020-07-05,NL,-1,10
2020-07-05,PE,24,6520
2020-07-05,PE,25,6400
2020-07-05,PE,35,5100
2020-07-05,PE,45,4880
2020-07-05,PE,55,4890
2020-07-05,PE,65,2070
2020-07-05,PE,-1,20
2020-07-05,NS,24,35980
2020-07-05,NS,25,44870
2020-07-05,NS,35,35010
2020-07-05,NS,45,32650
2020-07-05,NS,55,32650
2020-07-05,NS,65,11410
2020-07-05,NS,-1,40
2020-07-05,NB,24,26100
2020-07-05,NB,25,31170
2020-07-05,NB,35,27380
2020-07-05,NB,45,26510
2020-07-05,NB,55,25440
2020-07-05,NB,65,7680
2020-07-05,NB,-1,20
2020-07-05,QC,24,343530
2020-07-05,QC,25,410380
2020-07-05,QC,35,364640
2020-07-05,QC,45,322270
2020-07-05,QC,55,322740
2020-07-05,QC,65,111370
2020-07-05,QC,-1,90
2020-07-05,ON,24,623090
2020-07-05,ON,25,780930
2020-07-05,ON,35,624180
2020-07-05,ON,45,577520
2020-07-05,ON,55,520880
2020-07-05,ON,65,176030
2020-07-05,ON,-1,610
2020-07-05,MB,24,51310
2020-07-05,MB,25,62210
2020-07-05,MB,35,49850
2020-07-05,MB,45,40550
2020-07-05,MB,55,33930
2020-07-05,MB,65,12130
2020-07-05,MB,-1,60
2020-07-05,SK,24,42630
2020-07-05,SK,25,56470
2020-07-05,SK,35,45670
2020-07-05,SK,45,33530
2020-07-05,SK,55,29070
2020-07-05,SK,65,10980
2020-07-05,SK,-1,30
2020-07-05,AB,24,176010
2020-07-05,AB,25,246210
2020-07-05,AB,35,221040
2020-07-05,AB,45,166720
2020-07-05,AB,55,136330
2020-07-05,AB,65,45680
2020-07-05,AB,-1,170
2020-07-05,BC,24,200240
2020-07-05,BC,25,267830
2020-07-05,BC,35,215760
2020-07-05,BC,45,186530
2020-07-05,BC,55,171540
2020-07-05,BC,65,62890
2020-07-05,BC,-1,250
2020-07-05,YT,24,1310
2020-07-05,YT,25,2230
2020-07-05,YT,35,1700
2020-07-05,YT,45,1280
2020-07-05,YT,55,1310
2020-07-05,YT,65,590
2020-07-05,YT,-1,0
2020-07-05,NT,24,1840
2020-07-05,NT,25,2790
2020-07-05,NT,35,2000
2020-07-05,NT,45,1800
2020-07-05,NT,55,1570
2020-07-05,NT,65,750
2020-07-05,NT,-1,0
