code_de_la_subdivision_canadienne-canadian_subdivision_code,région_de_tri_d'acheminement-forward_sortation_area,code_de_genre-gender_group_code,compte_unique_du_bénéficiaire-unique_beneficiary_count
NL,A0A,-1,X
NL,A0A,101,4970
NL,A0A,102,5670
NL,A0A,103,X
NL,A0B,101,1900
NL,A0B,102,2200
NL,A0C,101,1310
NL,A0C,102,1360
NL,A0E,101,2140
NL,A0E,102,2440
NL,A0G,101,3450
NL,A0G,102,3780
NL,A0G,103,X
NL,A0H,101,1850
NL,A0H,102,1910
NL,A0J,101,780
NL,A0J,102,880
NL,A0K,101,2640
NL,A0K,102,2860
NL,A0L,101,770
NL,A0L,102,820
NL,A0L,103,X
NL,A0M,101,510
NL,A0M,102,520
NL,A0N,101,1320
NL,A0N,102,1680
NL,A0P,101,1750
NL,A0P,102,1810
NL,A0R,101,240
NL,A0R,102,120
NL,A1A,101,2720
NL,A1A,102,2800
NL,A1A,103,X
NL,A1B,-1,X
NL,A1B,101,2390
NL,A1B,102,2820
NL,A1B,103,X
NL,A1C,101,1700
NL,A1C,102,2150
NL,A1C,103,X
NL,A1E,101,3100
NL,A1E,102,3310
NL,A1E,103,X
NL,A1G,101,640
NL,A1G,102,690
NL,A1G,103,X
NL,A1H,101,520
NL,A1H,102,430
NL,A1H,103,X
NL,A1K,101,1250
NL,A1K,102,1280
NL,A1L,-1,X
NL,A1L,101,2250
NL,A1L,102,2070
NL,A1L,103,X
NL,A1M,101,780
NL,A1M,102,850
NL,A1M,103,X
NL,A1N,101,2350
NL,A1N,102,2450
NL,A1N,103,X
NL,A1S,101,780
NL,A1S,102,780
NL,A1V,101,1190
NL,A1V,102,1090
NL,A1W,101,1090
NL,A1W,102,1150
NL,A1X,-1,X
NL,A1X,101,1630
NL,A1X,102,1620
NL,A1X,103,X
NL,A1Y,101,570
NL,A1Y,102,590
NL,A2A,101,970
NL,A2A,102,920
NL,A2A,103,X
NL,A2B,101,510
NL,A2B,102,580
NL,A2B,103,X
NL,A2H,101,2650
NL,A2H,102,2640
NL,A2H,103,X
NL,A2N,101,910
NL,A2N,102,960
NL,A2N,103,X
NL,A2V,101,610
NL,A2V,102,390
NL,A5A,101,900
NL,A5A,102,900
NL,A8A,101,810
NL,A8A,102,710
NL,A8A,103,X
PE,C0A,101,4930
PE,C0A,102,4890
PE,C0A,103,X
PE,C0B,101,3280
PE,C0B,102,3080
PE,C0B,103,X
PE,C1A,-1,X
PE,C1A,101,3110
PE,C1A,102,3280
PE,C1A,103,X
PE,C1B,101,1340
PE,C1B,102,1330
PE,C1B,103,X
PE,C1C,-1,X
PE,C1C,101,540
PE,C1C,102,570
PE,C1E,101,1190
PE,C1E,102,1200
PE,C1E,103,X
